Division,Division Description,Major Group,Major Group Description,Industry Group,Industry Group Description,SIC,Description,GICS,etf_ticker
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,232,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments",2326,Men's and Boys' Work Clothing,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,232,"Men's And Boys' Furnishings, Work Clothing, And Allied Garments",2329,"Men's and Boys' Clothing, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,233,"Women's, Misses', And Juniors' Outerwear",2331,"Women's, Misses', and Juniors' Blouses and Shirts",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,233,"Women's, Misses', And Juniors' Outerwear",2335,"Women's, Misses', and Juniors' Dresses",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,233,"Women's, Misses', And Juniors' Outerwear",2337,"Women's, Misses', and Juniors' Suits, Skirts, and Coats",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,233,"Women's, Misses', And Juniors' Outerwear",2339,"Women's, Misses', and Juniors' Outerwear, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,234,"Women's, Misses', Children's, And Infants'",2341,"Women's, Misses', Children's, and Infants' Underwear and Nightwear",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,234,"Women's, Misses', Children's, And Infants'",2342,"Brassieres, Girdles, and Allied Garments",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,235,"Hats, Caps, And Millinery",2353,"Hats, Caps, and Millinery",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,236,"Girls', Children's, And Infants' Outerwear",2361,"Girls', Children's, and Infants' Dresses, Blouses, and Shirts",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,236,"Girls', Children's, And Infants' Outerwear",2369,"Girls', Children's, and Infants' Outerwear, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,237,Fur Goods,2371,Fur Goods,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,238,Miscellaneous Apparel And Accessories,2381,"Dress and Work Gloves, Except Knit and All-Leather",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,238,Miscellaneous Apparel And Accessories,2384,Robes and Dressing Gowns,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,238,Miscellaneous Apparel And Accessories,2385,Waterproof Outerwear,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,238,Miscellaneous Apparel And Accessories,2386,Leather and Sheep-Lined Clothing,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,238,Miscellaneous Apparel And Accessories,2387,Apparel belts,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,238,Miscellaneous Apparel And Accessories,2389,"Apparel and Accessories, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,239,Miscellaneous Fabricated Textile Products,2391,Curtains and Draperies,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,239,Miscellaneous Fabricated Textile Products,2392,"House furnishing, Except Curtains and Draperies",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,239,Miscellaneous Fabricated Textile Products,2393,Textile Bags,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,239,Miscellaneous Fabricated Textile Products,2394,Canvas and Related Products,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,239,Miscellaneous Fabricated Textile Products,2395,"Pleating, Decorative and Novelty Stitching, and Tucking for the Trade",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,239,Miscellaneous Fabricated Textile Products,2396,"Automotive Trimmings, Apparel Findings, and Related Products",Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,239,Miscellaneous Fabricated Textile Products,2397,Schiffli Machine Embroideries,Industrials,XLI
D,Manufacturing,23,Apparel And Other Finished Products Made From Fabrics And Similar Materials,239,Miscellaneous Fabricated Textile Products,2399,"Fabricated Textile Products, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",241,Logging,2411,Logging,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",242,Sawmills And Planing Mills,2421,"Sawmills and Planing Mills, General",Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",242,Sawmills And Planing Mills,2426,Hardwood Dimension and Flooring Mills,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",242,Sawmills And Planing Mills,2429,"Special Product Sawmills, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",243,"Millwork, Veneer, Plywood, And Structural Wood",2431,Millwork,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",243,"Millwork, Veneer, Plywood, And Structural Wood",2434,Wood Kitchen Cabinets,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",243,"Millwork, Veneer, Plywood, And Structural Wood",2435,Hardwood Veneer and Plywood,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",243,"Millwork, Veneer, Plywood, And Structural Wood",2436,Softwood Veneer and Plywood,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",243,"Millwork, Veneer, Plywood, And Structural Wood",2439,"Structural Wood Members, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",244,Wood Containers,2441,Nailed and Lock Corner Wood Boxes and Shook,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",244,Wood Containers,2448,Wood Pallets and Skids,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",244,Wood Containers,2449,"Wood Containers, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",245,Wood Buildings And Mobile Homes,2451,Mobile Homes,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",245,Wood Buildings And Mobile Homes,2452,Prefabricated Wood Buildings and Components,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",249,Miscellaneous Wood Products,2491,Wood Preserving,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",249,Miscellaneous Wood Products,2493,Reconstituted Wood Products,Industrials,XLI
D,Manufacturing,24,"Lumber And Wood Products, Except Furniture",249,Miscellaneous Wood Products,2499,"Wood Products, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,251,Household Furniture,2511,"Wood Household Furniture, Except Upholstered",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,251,Household Furniture,2512,"Wood Household Furniture, Upholstered",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,251,Household Furniture,2514,Metal Household Furniture,Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,251,Household Furniture,2515,"Mattresses, Foundations, and Convertible Beds",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,251,Household Furniture,2517,"Wood Television, Radio, Phonograph, and Sewing Machine Cabinets",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,251,Household Furniture,2519,"Household Furniture, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,252,Office Furniture,2521,Wood Office Furniture,Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,252,Office Furniture,2522,"Office Furniture, Except Wood",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,253,Public Building And Related Furniture,2531,Public Building and Related Furniture,Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,254,"Partitions, Shelving, Lockers, And Office And",2541,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,254,"Partitions, Shelving, Lockers, And Office And",2542,"Office and Store Fixtures, Partitions, Shelving, and Lockers, Except Wood",Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,259,Miscellaneous Furniture And Fixtures,2591,Drapery Hardware and Window Blinds and Shades,Industrials,XLI
D,Manufacturing,25,Furniture And Fixtures,259,Miscellaneous Furniture And Fixtures,2599,"Furniture and Fixtures, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,261,Pulp Mills,2611,Pulp Mills,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,262,Paper Mills,2621,Paper Mills,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,263,Paperboard Mills,2631,Paperboard Mills,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,265,Paperboard Containers And Boxes,2652,Setup Paperboard Boxes,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,265,Paperboard Containers And Boxes,2653,Corrugated and Solid Fiber Boxes,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,265,Paperboard Containers And Boxes,2655,"Fiber Cans, Tubes, Drums, and Similar Products",Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,265,Paperboard Containers And Boxes,2656,"Sanitary Food Containers, Except Folding",Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,265,Paperboard Containers And Boxes,2657,"Folding Paperboard Boxes, Including Sanitary",Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2671,"Packaging Paper and Plastics Film, Coated and Laminated",Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2672,"Coated and Laminated Paper, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2673,"Plastics, Foil, and Coated Paper Bags",Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2674,Uncoated Paper and Multiwall Bags,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2675,Die-Cut Paper and Paperboard and Cardboard,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2676,Sanitary Paper Products,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2677,Envelopes,Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2678,"Stationery, Tablets, and Related Products",Industrials,XLI
D,Manufacturing,26,Paper And Allied Products,267,"Converted Paper And Paperboard Products, Except",2679,"Converted Paper and Paperboard Products, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",271,Newspaper,2711,"Newspapers: Publishing, or Publishing and Printing",Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",272,Periodical,2721,"Periodicals: Publishing, or Publishing and Printing",Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",273,Books,2731,"Books: Publishing, or Publishing and Printing",Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",273,Books,2732,Book Printing,Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",274,Miscellaneous Publishing,2741,Miscellaneous Publishing,Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",275,Commercial Printing,2752,"Commercial Printing, Lithographic",Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",275,Commercial Printing,2754,"Commercial Printing, Gravure",Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",275,Commercial Printing,2759,"Commercial Printing, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",276,Manifold Business Forms,2761,Manifold Business Forms,Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",277,Greeting Cards,2771,Greeting Cards,Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",278,"Blankbooks, Looseleaf Binders, And Bookbinding",2782,"Blankbooks, Looseleaf Binders and Devices",Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",278,"Blankbooks, Looseleaf Binders, And Bookbinding",2789,Bookbinding and Related Work,Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",279,Service Industries For The Printing Trade,2791,Typesetting,Industrials,XLI
D,Manufacturing,27,"Printing, Publishing, And Allied Industries",279,Service Industries For The Printing Trade,2796,Platemaking and Related Services,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,281,Industrial Inorganic Chemicals,2812,Alkalies and Chlorine,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,281,Industrial Inorganic Chemicals,2813,Industrial Gases,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,281,Industrial Inorganic Chemicals,2816,Inorganic Pigments,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,281,Industrial Inorganic Chemicals,2819,"Industrial Inorganic Chemicals, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,282,"Plastics Materials And Synthetic Resins, Synthetic",2821,"Plastics Materials, Synthetic Resins, and Nonvulcanizable Elastomers",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,282,"Plastics Materials And Synthetic Resins, Synthetic",2822,Synthetic Rubber (Vulcanizable Elastomers),Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,282,"Plastics Materials And Synthetic Resins, Synthetic",2823,Cellulosic Manmade Fibers,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,282,"Plastics Materials And Synthetic Resins, Synthetic",2824,"Manmade Organic Fibers, Except Cellulosic",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,283,Drugs,2833,Medicinal Chemicals and Botanical Products,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,283,Drugs,2834,Pharmaceutical Preparations,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,283,Drugs,2835,In Vitro and In Vivo Diagnostic Substances,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,283,Drugs,2836,"Biological Products, Except Diagnostic Substances",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,284,"Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmetics, and Other Toilet Preparations",2841,"Soap and Other Detergents, Except Specialty Cleaners",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,284,"Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmetics, and Other Toilet Preparations",2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,284,"Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmetics, and Other Toilet Preparations",2843,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,284,"Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmetics, and Other Toilet Preparations",2844,"Perfumes, Cosmetics, and Other Toilet Preparations",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,285,"Paints, Varnishes, Lacquers, Enamels, And Allied",2851,"Paints, Varnishes, Lacquers, Enamels, and Allied Products",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,286,Industrial Organic Chemicals,2861,Gum and Wood Chemicals,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,286,Industrial Organic Chemicals,2865,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,286,Industrial Organic Chemicals,2869,"Industrial Organic Chemicals, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,287,Agricultural Chemicals,2873,Nitrogenous Fertilizers,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,287,Agricultural Chemicals,2874,Phosphatic Fertilizers,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,287,Agricultural Chemicals,2875,"Fertilizers, Mixing Only",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,287,Agricultural Chemicals,2879,"Pesticides and Agricultural Chemicals, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,289,Miscellaneous Chemical Products,2891,Adhesives and Sealants,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,289,Miscellaneous Chemical Products,2892,Explosives,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,289,Miscellaneous Chemical Products,2893,Printing Ink,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,289,Miscellaneous Chemical Products,2895,Carbon Black,Industrials,XLI
D,Manufacturing,28,Chemicals And Allied Products,289,Miscellaneous Chemical Products,2899,"Chemicals and Chemical Preparations, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,29,Petroleum Refining And Related Industries,291,Petroleum Refining,2911,Petroleum Refining,Industrials,XLI
D,Manufacturing,29,Petroleum Refining And Related Industries,295,Asphalt Paving And Roofing Materials,2951,Asphalt Paving Mixtures and Blocks,Industrials,XLI
D,Manufacturing,29,Petroleum Refining And Related Industries,295,Asphalt Paving And Roofing Materials,2952,Asphalt Felts and Coatings,Industrials,XLI
D,Manufacturing,29,Petroleum Refining And Related Industries,299,Miscellaneous Products Of Petroleum And Coal,2992,Lubricating Oils and Greases,Industrials,XLI
D,Manufacturing,29,Petroleum Refining And Related Industries,299,Miscellaneous Products Of Petroleum And Coal,2999,"Products of Petroleum and Coal, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,301,Tires And Inner Tubes,3011,Tires and Inner Tubes,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,302,Rubber And Plastics Footwear,3021,Rubber and Plastics Footwear,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,305,"Gaskets, Packing, And Sealing Devices And Rubber",3052,Rubber and Plastics Hose and Belting,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,305,"Gaskets, Packing, And Sealing Devices And Rubber",3053,"Gaskets, Packing, and Sealing Devices",Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,306,"Fabricated Rubber Products, Not Elsewhere",3061,"Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods",Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,306,"Fabricated Rubber Products, Not Elsewhere",3069,"Fabricated Rubber Products, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3081,Unsupported Plastics Film and Sheet,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3082,Unsupported Plastics Profile Shapes,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3083,"Laminated Plastics Plate, Sheet, and Profile Shapes",Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3084,Plastics Pipe,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3085,Plastics Bottles,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3086,Plastics Foam Products,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3087,Custom Compounding of Purchased Plastics Resins,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3088,Plastics Plumbing Fixtures,Industrials,XLI
D,Manufacturing,30,Rubber And Miscellaneous Plastics Products,308,Miscellaneous Plastics Products,3089,"Plastics Products, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,311,Leather Tanning And Finishing,3111,Leather Tanning and Finishing,Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,313,Boot And Shoe Cut Stock And Findings,3131,Boot and Shoe Cut Stock and Findings,Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,314,"Footwear, Except Rubber",3142,House Slippers,Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,314,"Footwear, Except Rubber",3143,"Men's Footwear, Except Athletic",Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,314,"Footwear, Except Rubber",3144,"Women's Footwear, Except Athletic",Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,314,"Footwear, Except Rubber",3149,"Footwear, Except Rubber, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,315,Leather Gloves And Mittens,3151,Leather Gloves and Mittens,Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,316,Luggage,3161,Luggage,Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,317,Handbags And Other Personal Leather Goods,3171,Women's Handbags and Purses,Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,317,Handbags And Other Personal Leather Goods,3172,"Personal Leather Goods, Except Women's Handbags and Purses",Industrials,XLI
D,Manufacturing,31,Leather And Leather Products,319,"Leather Goods, Not Elsewhere Classified",3199,"Leather Goods, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",321,Flat Glass,3211,Flat Glass,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",322,"Glass And Glassware, Pressed Or Blown",3221,Glass Containers,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",322,"Glass And Glassware, Pressed Or Blown",3229,"Pressed and Blown Glass and Glassware, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",323,"Glass Products, Made Of Purchased Glass",3231,"Glass Products, Made of Purchased Glass",Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",324,"Cement, Hydraulic",3241,"Cement, Hydraulic",Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",325,Structural Clay Products,3251,Brick and Structural Clay Tile,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",325,Structural Clay Products,3253,Ceramic Wall and Floor Tile,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",325,Structural Clay Products,3255,Clay Refractories,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",325,Structural Clay Products,3259,"Structural Clay Products, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",326,Pottery And Related Products,3261,Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",326,Pottery And Related Products,3262,Vitreous China Table and Kitchen Articles,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",326,Pottery And Related Products,3263,Fine Earthenware (Whiteware) Table and Kitchen Articles,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",326,Pottery And Related Products,3264,Porcelain Electrical Supplies,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",326,Pottery And Related Products,3269,"Pottery Products, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",327,"Concrete, Gypsum, And Plaster Products",3271,Concrete Block and Brick,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",327,"Concrete, Gypsum, And Plaster Products",3272,"Concrete Products, Except Block and Brick",Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",327,"Concrete, Gypsum, And Plaster Products",3273,Ready-Mixed Concrete,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",327,"Concrete, Gypsum, And Plaster Products",3274,Lime,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",327,"Concrete, Gypsum, And Plaster Products",3275,Gypsum Products,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",328,Cut Stone And Stone Products,3281,Cut Stone and Stone Products,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",329,"Abrasive, Asbestos, And Miscellaneous",3291,Abrasive Products,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",329,"Abrasive, Asbestos, And Miscellaneous",3292,Asbestos Products,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",329,"Abrasive, Asbestos, And Miscellaneous",3295,"Minerals and Earths, Ground or Otherwise Treated",Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",329,"Abrasive, Asbestos, And Miscellaneous",3296,Mineral Wool,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",329,"Abrasive, Asbestos, And Miscellaneous",3297,Nonclay Refractories,Industrials,XLI
D,Manufacturing,32,"Stone, Clay, Glass, And Concrete Products",329,"Abrasive, Asbestos, And Miscellaneous",3299,"Nonmetallic Mineral Products, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,331,"Steel Works, Blast Furnaces, And Rolling And Finishing Mills",3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills",Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,331,"Steel Works, Blast Furnaces, And Rolling And Finishing Mills",3313,"Electrometallurgical Products, Except Steel",Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,331,"Steel Works, Blast Furnaces, And Rolling And Finishing Mills",3315,Steel Wiredrawing and Steel Nails and Spikes,Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,331,"Steel Works, Blast Furnaces, And Rolling And Finishing Mills",3316,"Cold-Rolled Steel Sheet, Strip, and Bars",Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,331,"Steel Works, Blast Furnaces, And Rolling And Finishing Mills",3317,Steel Pipe and Tubes,Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,332,Iron And Steel Foundries,3321,Gray and Ductile Iron Foundries,Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,332,Iron And Steel Foundries,3322,Malleable Iron Foundries,Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,332,Iron And Steel Foundries,3324,Steel Investment Foundries,Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,332,Iron And Steel Foundries,3325,"Steel Foundries, Not Elsewhere Classified",Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,333,Primary Smelting And Refining Of Nonferrous,3331,Primary Smelting and Refining of Copper,Industrials,XLI
D,Manufacturing,33,Primary Metal Industries,333,Primary Smelting And Refining Of Nonferrous,3334,Primary Production of Aluminum,Industrials,XLI
